,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Isg15,0.07850483,0.016911434,0.07052495,0.053798556,0.16616477,0.20839413,0.14756952,1.6163251,0.1182401,0.057102233,0.22359364,0.074722014
Tnfrsf18,6.112091e-05,0.09478629,0.73293304,0.0,0.0,0.34253907,0.0,0.0,0.31772432,0.0,0.0,0.0
Tnfrsf4,0.0,0.13351275,0.55094165,0.0,0.0,0.18108192,0.23973916,0.034150917,0.94619054,0.0,0.0,0.0
Smim1,0.0,0.015614724,0.003627777,0.29429418,0.10360262,0.0,0.0,0.015384456,0.05832664,0.0,0.095484786,0.0
Car6,0.0,0.0,0.0,0.0,0.7288027,0.0,0.0,0.0,0.0,0.03663509,0.0,0.0
Spsb1,0.0,0.0,0.012565564,0.0028915224,0.0,0.4015633,0.32228634,0.062860735,0.0,0.106008634,0.0,0.0
Agtrap,0.21029858,0.0026130448,0.0,0.42379284,0.0,0.19256896,0.0,0.008856023,0.39745453,0.28817406,0.25151914,0.16455987
Plod1,0.27965683,0.0035580986,0.0030862354,0.11014467,0.0,0.0722507,0.07586518,0.0,0.0098066125,0.012150677,0.0,0.0
Tnfrsf1b,0.2260106,0.2750985,0.30218482,0.13183802,0.037891455,0.40538862,0.48486805,0.0,0.19048236,0.0,0.08172083,0.19673029
Efhd2,0.67708886,0.029212918,0.29878885,0.16421269,0.12680413,0.16528477,0.18265297,0.06277577,0.008253952,0.02943356,0.16477042,0.34494337
Spen,0.07066541,0.08626531,0.14916837,0.6749986,0.33369857,0.096862495,0.35486004,0.045564838,0.07820227,0.14223905,0.0,0.09507067
Camk2n1,0.10244103,0.054341488,0.31940788,0.09130188,0.03767461,0.0,0.0,0.0,0.13013844,0.0,0.10637612,0.15366338
Eif4g3,0.18516701,0.038827628,0.14770804,0.2617093,0.07715961,0.11545548,0.28838763,0.056047637,0.0,0.20132789,0.0039495598,0.10960207
Luzp1,0.037728477,0.07792701,0.17265883,0.2570881,0.03787798,0.007461801,0.13772337,0.057445455,0.15622284,0.0892357,0.051087324,0.2327055
Tcea3,0.0,0.03311639,0.0,0.74508965,0.2250231,0.0,0.031505134,0.0,0.4430358,0.0,0.1857967,0.0
Id3,0.0,0.18526384,0.0,0.6885319,0.0,0.0462915,0.21287797,0.0,0.448003,0.187716,0.0,0.0
Runx3,0.2909718,0.04586673,0.19020921,0.37711224,0.17786916,0.07150035,0.06814388,0.038541917,0.12539697,0.06683063,0.10381903,0.32162446
Stmn1,0.066953346,0.034985594,0.0,0.821792,0.0831473,0.07250936,0.0,0.0,0.2328933,0.72198445,0.0,0.0112705175
Sh3bgrl3,0.35748467,0.03318035,0.20871599,0.0,0.0,0.4081606,0.27265292,0.10233252,0.6436948,0.011516,0.17214172,0.22309873
Ubxn11,0.034757208,0.06500506,0.14333253,0.39657497,0.0,0.0797786,0.30772966,0.0,0.544,0.01467729,0.111906536,0.108965226
Zfp683,0.5699889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017344026,0.020175077,0.0,0.0
Fgr,0.800984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sesn2,0.19388846,0.0019397896,0.11368983,0.15694092,0.0,0.122375205,0.09282564,0.0,0.01015886,0.034457557,0.058010284,0.120035335
Marcksl1,0.031388767,0.0,0.0,0.64574564,0.12832333,0.0,0.35084108,0.0,0.19480431,0.7155367,0.31112245,0.0
Eva1b,0.03380257,0.108081855,0.27293658,0.0,0.0,0.14216381,0.037976716,0.0,0.0,0.0,0.059020445,0.16007711
Maneal,0.11899997,0.027452273,0.074120715,0.01730615,0.1268131,0.0,0.08452293,0.0044213794,0.0,0.0012504949,0.0,0.056469247
Macf1,0.13778852,0.041743245,0.17681113,0.5455352,0.2161159,0.13553567,0.59775424,0.08645107,0.21576397,0.088730775,0.04336307,0.17459764
Col9a2,0.0,0.1244138,0.020684823,0.037136376,0.023087889,0.0,0.0,0.01680605,0.06914949,0.0,0.10186713,0.0
Zfp69,0.040048324,0.019757658,0.0887733,0.18211608,0.14995001,0.029557792,0.14733583,0.012446524,0.035150595,0.06820042,0.0018798611,0.033392336
Cited4,0.0,0.06714159,0.014808578,0.51460224,0.90830976,0.0,0.0,0.0,0.0,0.102100156,0.46159065,0.0
Hivep3,0.17926677,0.04143406,0.026830226,0.021478022,0.2995836,0.05589608,0.26965925,0.107572004,0.15493372,0.10624315,0.060576443,0.116166286
Armh1,0.0,0.0,0.0,0.6210738,0.30466595,0.0,0.30562818,0.06634704,0.041821223,0.44688147,0.39286524,0.0
Eps15,0.13431586,0.08356778,0.14627887,0.38955736,0.21070105,0.1887249,0.39798993,0.052752145,0.30678466,0.1137355,0.0,0.27506006
Ssbp3,0.24516264,0.0,0.28755417,0.5343505,0.08519705,0.0,0.1460291,0.024792306,0.0,0.24692835,0.2999014,0.0
Jun,0.0,0.08105357,0.09515483,0.12993817,0.004502702,0.0,0.14657795,0.017389586,0.094355,0.061625883,1.6609861,0.0
