index,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018593663,1.410969,0.0,0.0,0.0,0.0
CPSF3L,0.013691913,0.12835744,0.04691767,0.13409686,0.07962211,0.0,0.12791587,0.20864199,0.26817468,0.26338577,0.031672813,0.32815757,0.019121882
ATAD3C,0.0,0.0,0.04489142,0.0,0.0,0.0,0.0,0.047293622,0.033988927,0.035961047,0.0,0.027124556,0.0
C1orf86,0.01976816,0.028389608,0.30705926,0.33771697,0.0,0.10583426,0.20737836,0.20625912,0.4085247,0.077876516,0.3623694,0.1022318,0.01787136
RER1,0.0,0.0027480456,0.03957902,0.067802496,0.21884562,0.2564825,0.39868948,0.3595137,0.48985064,0.25246215,0.3324351,0.15514049,0.0
TNFRSF25,0.025785211,0.0,0.0,0.0,0.0,0.10929098,0.0,0.013429154,1.0955379,0.201993,0.0,0.0,0.0
TNFRSF9,0.0,0.07213965,0.0,0.0,0.0,0.13228439,0.0,0.0,0.0,0.22850269,0.0,0.0,0.0
CTNNBIP1,0.0,0.27481258,0.100958824,0.0,0.0,0.017855171,0.06413695,0.21508259,0.15673584,0.14031973,0.44207692,0.0,0.039262954
SRM,0.10199077,0.18150714,0.18486556,0.097935475,0.18522453,0.38708645,0.04532555,0.0,0.23667893,0.31694418,0.051780332,0.24822903,0.03716643
UBIAD1,0.06399229,0.0,0.08655377,0.08182661,0.0,0.13804758,0.0019399484,0.010237129,0.58523345,0.027931737,0.0,0.06382487,0.0
DRAXIN,0.00055613875,0.024076883,0.03292711,0.008511788,0.05512847,0.08660984,0.0,0.009362992,0.0,0.0,0.025751084,0.0,0.0015043224
TNFRSF1B,0.0,0.0,0.04891131,0.0,0.0,0.0,0.9360388,0.22267343,0.070917636,0.15500717,0.38629967,0.2539709,0.0
PRDM2,0.0,0.0,0.09757155,0.05120882,0.46654567,0.46985942,0.06849905,0.049406692,0.27577758,0.08764813,0.1522653,0.0,0.0
EFHD2,0.07580139,0.14955962,0.0,0.0,0.060595844,0.0,0.45834953,1.0288026,0.03745907,0.12438214,0.58952427,0.09470569,0.0
DDI2,0.0,0.0,0.015517817,0.15704189,0.0,0.1186775,0.046053354,0.040525775,0.15135121,0.08795011,0.04401578,0.0,0.0
SPEN,0.11368825,0.05122254,0.22954944,0.039862942,0.114604615,0.059618227,0.12880754,0.08399314,0.11856373,0.022058731,0.042766485,0.0,0.0
SDHB,0.04235033,0.1498005,0.1120362,0.19920884,0.23859635,0.13333978,0.30469194,0.1927479,0.51674175,0.100100406,0.4206455,0.0,0.04863773
CAPZB,0.097301394,0.0,0.3450551,0.23008925,0.1782452,0.074671485,0.2865758,0.453833,0.4760302,0.3827642,0.27517685,0.0,0.13778104
CAMK2N1,0.0,0.0,0.033337712,0.0,0.0,0.05204017,0.0,0.022236709,0.015147016,0.088142216,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0,0.0,0.6939643,0.0,0.0,0.0,1.2158456,0.0,0.012063545
C1QA,0.0,0.00054993073,0.0,0.0,0.0,0.0,1.0384362,0.0,0.0,0.0,0.0,0.0,0.0780791
C1QC,0.0,0.0,0.015561782,0.0,0.0,0.059710104,0.09179396,0.016959758,0.0038936273,0.0,0.0,0.0,0.0022660964
C1QB,0.0,0.013271672,0.0,0.0,0.0,0.0,0.69561774,0.0,0.0,0.0,0.0,0.0,0.03325526
ZNF436,0.040048067,0.0,0.0,0.0,0.105712965,0.0,0.0,0.04467043,0.0,0.0,0.0126045095,0.06770919,0.0018273003
